algorithm,rps,request_id,assigned_worker_index,assigned_worker_config,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps
round_robin_sjf,0.2,req_0,0,sp1_cfg1_tp1,0.0,0.0,9.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_1,1,sp1_cfg1_tp1,5.0,5.0,7.05,2.05,0.0,2.05,512x512,20
round_robin_sjf,0.2,req_2,2,sp1_cfg1_tp1,10.0,10.0,13.978,3.978,0.0,3.978,768x768,20
round_robin_sjf,0.2,req_3,3,sp1_cfg1_tp1,15.0,15.0,18.978,3.978,0.0,3.978,768x768,20
round_robin_sjf,0.2,req_4,4,sp1_cfg1_tp1,20.0,20.0,29.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_5,5,sp1_cfg1_tp1,25.0,25.0,34.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_6,6,sp1_cfg1_tp1,30.0,30.0,61.865,31.865,0.0,31.865,1536x1536,35
round_robin_sjf,0.2,req_7,7,sp1_cfg1_tp1,35.0,35.0,37.05,2.05,0.0,2.05,512x512,20
round_robin_sjf,0.2,req_8,0,sp1_cfg1_tp1,40.0,40.0,49.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_9,1,sp1_cfg1_tp1,45.0,45.0,47.05,2.05,0.0,2.05,512x512,20
round_robin_sjf,0.2,req_10,2,sp1_cfg1_tp1,50.0,50.0,53.978,3.978,0.0,3.978,768x768,20
round_robin_sjf,0.2,req_11,3,sp1_cfg1_tp1,55.0,55.0,64.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_12,4,sp1_cfg1_tp1,60.0,60.0,62.05,2.05,0.0,2.05,512x512,20
round_robin_sjf,0.2,req_13,5,sp1_cfg1_tp1,65.0,65.0,68.978,3.978,0.0,3.978,768x768,20
round_robin_sjf,0.2,req_14,6,sp1_cfg1_tp1,70.0,70.0,79.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_15,7,sp1_cfg1_tp1,75.0,75.0,84.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_16,0,sp1_cfg1_tp1,80.0,80.0,83.978,3.978,0.0,3.978,768x768,20
round_robin_sjf,0.2,req_17,1,sp1_cfg1_tp1,85.0,85.0,94.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_18,2,sp1_cfg1_tp1,90.0,90.0,99.146,9.146,0.0,9.146,1024x1024,25
round_robin_sjf,0.2,req_19,3,sp1_cfg1_tp1,95.0,95.0,97.05,2.05,0.0,2.05,512x512,20
